Date,0,1,2,3
2015-11-30,IEF,,,
2015-12-31,IEF,,,
2016-01-29,IEF,,,
2016-02-29,TLT,IEF,BIL,BIL
2016-03-31,VNQ,SPY,TLT,IEF
2016-04-29,VNQ,TLT,IEF,SPY
2016-05-31,VNQ,TLT,SPY,IEF
2016-06-30,TLT,VNQ,IEF,PDBC
2016-07-29,VNQ,TLT,IWM,VWO
2016-08-31,VNQ,VWO,IWM,TLT
2016-09-30,IWM,VWO,SPY,VEA
2016-10-31,VWO,PDBC,SPY,IWM
2016-11-30,IWM,SPY,PDBC,VWO
2016-12-30,IWM,PDBC,SPY,VWO
2017-01-31,IWM,PDBC,VWO,SPY
2017-02-28,IWM,SPY,VWO,PDBC
2017-03-31,IWM,VWO,SPY,VEA
2017-04-28,IWM,SPY,VWO,VEA
2017-05-31,VEA,VWO,SPY,IWM
2017-06-30,BIL,,,
2017-07-31,BIL,,,
2017-08-31,VWO,VEA,SPY,IWM
2017-09-29,BIL,,,
2017-10-31,VEA,IWM,VWO,SPY
2017-11-30,IWM,SPY,VEA,VWO
2017-12-29,VWO,VEA,SPY,PDBC
2018-01-31,VWO,SPY,VEA,IWM
2018-02-28,BIL,,,
2018-03-29,VWO,PDBC,VEA,IWM
2018-04-30,BIL,,,
2018-05-31,PDBC,IWM,SPY,VNQ
2018-06-29,IWM,PDBC,SPY,VNQ
2018-07-31,IWM,SPY,VNQ,PDBC
2018-08-31,IWM,SPY,VNQ,PDBC
2018-09-28,BIL,,,
2018-10-31,BIL,,,
2018-11-30,BIL,,,
2018-12-31,IEF,,,
2019-01-31,VNQ,TLT,IEF,VWO
2019-02-28,VNQ,IEF,TLT,SPY
2019-03-29,VNQ,TLT,SPY,IEF
2019-04-30,SPY,VNQ,IWM,VWO
2019-05-31,TLT,VNQ,IEF,BIL
2019-06-28,SPY,VNQ,TLT,VEA
2019-07-31,TLT,VNQ,SPY,IEF
2019-08-30,TLT,VNQ,IEF,SPY
2019-09-30,TLT,VNQ,IEF,SPY
2019-10-31,TLT,VNQ,IEF,SPY
2019-11-29,SPY,IWM,VEA,TLT
2019-12-31,SPY,VWO,IWM,VEA
2020-01-31,TLT,SPY,VNQ,IEF
2020-02-28,TLT,IEF,BIL,BIL
2020-03-31,TLT,IEF,BIL,BIL
2020-04-30,TLT,IEF,SPY,BIL
2020-05-29,TLT,IEF,SPY,BIL
2020-06-30,TLT,SPY,IEF,VWO
2020-07-31,TLT,VWO,SPY,IEF
2020-08-31,SPY,VWO,VEA,IWM
2020-09-30,SPY,VWO,IWM,VEA
2020-10-30,VWO,IWM,SPY,IEF
2020-11-30,IWM,VWO,SPY,VEA
2020-12-31,IWM,VWO,SPY,VEA
2021-01-29,IWM,VWO,VEA,SPY
2021-02-26,IWM,PDBC,VWO,VEA
2021-03-31,IWM,SPY,PDBC,VWO
2021-04-30,IWM,PDBC,SPY,VNQ
2021-05-28,PDBC,IWM,VEA,VNQ
2021-06-30,PDBC,IWM,VNQ,SPY
2021-07-30,PDBC,VNQ,SPY,IWM
2021-08-31,VNQ,SPY,PDBC,IWM
2021-09-30,PDBC,VNQ,IWM,SPY
2021-10-29,PDBC,VNQ,SPY,IWM
2021-11-30,PDBC,SPY,VNQ,TLT
2021-12-31,VNQ,PDBC,SPY,VEA
2022-01-31,BIL,,,
2022-02-28,PDBC,VNQ,SPY,BIL
2022-03-31,BIL,,,
2022-04-29,BIL,,,
2022-05-31,BIL,,,
2022-06-30,BIL,,,
2022-07-29,BIL,,,
2022-08-31,BIL,,,
2022-09-30,BIL,,,
2022-10-31,BIL,,,
2022-11-30,BIL,,,
2022-12-30,BIL,,,
2023-01-31,BIL,,,
2023-02-28,BIL,,,
2023-03-31,VEA,SPY,VWO,IEF
2023-04-28,VEA,SPY,IEF,VWO
2023-05-31,BIL,,,
2023-06-30,BIL,,,
2023-07-31,BIL,,,
2023-08-31,BIL,,,
2023-09-29,BIL,,,
2023-10-31,BIL,,,
2023-11-30,SPY,VEA,VWO,VNQ
2023-12-29,IWM,SPY,VNQ,VEA
2024-01-31,SPY,VEA,IWM,IEF
2024-02-29,SPY,IWM,VEA,VWO
2024-03-28,SPY,IWM,VEA,VNQ
2024-04-30,BIL,,,
2024-05-31,SPY,IWM,VEA,VWO
2024-06-28,SPY,VWO,PDBC,VEA
2024-07-31,IWM,SPY,VNQ,VEA
2024-08-30,VNQ,SPY,VEA,IWM
2024-09-30,VNQ,VWO,SPY,IWM
2024-10-31,VNQ,SPY,IWM,VWO
2024-11-29,IWM,SPY,VNQ,VWO
2024-12-31,BIL,,,
2025-01-31,SPY,IWM,VWO,VEA
2025-02-28,SPY,VWO,VNQ,PDBC
2025-03-31,PDBC,VWO,VEA,IEF
2025-04-30,VEA,IEF,VWO,VNQ
2025-05-30,VEA,VWO,SPY,IEF
2025-06-30,VEA,VWO,SPY,IWM
2025-07-31,VWO,SPY,VEA,PDBC
2025-08-29,VWO,VEA,IWM,SPY
2025-09-30,VWO,SPY,IWM,VEA
2025-10-31,VWO,SPY,IWM,VEA
2025-11-28,VEA,VWO,SPY,IWM
